database_id,display_name,identity_name,name_source,employment_status,internal_player_key,owner_club_save_index,owner_club_database_id,owner_club,active_club_save_index,active_club_database_id,active_club,is_on_loan,weekly_wage_internal,contract_start_year,contract_end_date,contract_end_date_status,contract_end_day_raw,contract_end_year_raw,loan_weekly_wage_internal,loan_end_date,record_subtype,contract_count,data_quality_flags,score,confidence
12774,"Vasilis Tsiartas","Vasilis Tsiartas",KNOWN_DISPLAY_NAME,FreeAgent,,,,"",,,"",False,,,,NotApplicable,,,,,,0,"FREE_AGENT|IDENTITY_NOT_RESOLVED",70,MEDIUM
500471,"","Antônio da Silva",IDENTITY_FRAGMENT,Contracted,4571,184,918,"1.FSV Mainz 05",184,918,"1.FSV Mainz 05",False,7500,2003,2005-06-30,Defined,180,2005,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
311343,"","Volmir Francisco",IDENTITY_FRAGMENT,Contracted,2353,848,301304,"A Chapecoense F",848,301304,"A Chapecoense F",False,250,2001,2008-01-31,Defined,30,2008,,,1,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8833423,"","Alencar",IDENTITY_FRAGMENT,OnLoan,7307,1049,310898,"Uberaba SC",62,333,"A Portuguesa D",True,229,2003,2006-01-31,Defined,30,2006,229,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
310949,"","Amersur Araújo",IDENTITY_FRAGMENT,Contracted,2172,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,75,2001,2006-01-31,Defined,30,2006,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
6900141,"","Calmon Felix",IDENTITY_FRAGMENT,Contracted,6495,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,268,2001,2006-01-31,Defined,30,2006,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
6900668,"","Carlinhos Neves",IDENTITY_FRAGMENT,Contracted,6576,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,187,2001,2007-01-31,Defined,30,2007,,,1,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8832899,"Celso Luís","Celso Luís",KNOWN_DISPLAY_NAME,FormationContract,7237,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,30,2004,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE",89,MEDIUM
3301255,"","Chrysostomo Fonseca",IDENTITY_FRAGMENT,Contracted,5693,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,434,2001,2006-01-31,Defined,30,2006,,,1,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
303355,"","Costa Lopes",IDENTITY_FRAGMENT,Contracted,923,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,212,2001,2006-01-31,Defined,30,2006,,,1,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
308404,"","Daniel Luiz",IDENTITY_FRAGMENT,Contracted,1928,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,75,2003,2006-01-31,Defined,30,2006,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
316632,"","de Lucena",IDENTITY_FRAGMENT,Contracted,3400,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,284,2002,2005-07-15,Defined,195,2005,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
316675,"","Dias Pereira",IDENTITY_FRAGMENT,Contracted,3421,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,75,2001,2006-01-31,Defined,30,2006,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
320567,"","Ferreira Pedro",IDENTITY_FRAGMENT,OnLoan,4330,48,319,"SC Corinthians Paulista",62,333,"A Portuguesa D",True,31,2001,2004-12-31,Defined,365,2004,31,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
8833424,"","Ferreira Xavier",IDENTITY_FRAGMENT,Contracted,7308,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,206,2004,2006-01-31,Defined,30,2006,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
310948,"","Florisvaldo",IDENTITY_FRAGMENT,Contracted,2171,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,203,2001,2006-01-31,Defined,30,2006,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
316661,"","Fontone",IDENTITY_FRAGMENT,Contracted,3410,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,163,2002,2005-07-11,Defined,191,2005,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
310958,"","Gama Rodrigues",IDENTITY_FRAGMENT,Contracted,2176,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,250,2001,2006-01-31,Defined,30,2006,,,2,1,"DISPLAY_NAME_UNRESOLVED",89,MEDIUM
