database_id,display_name,identity_name,name_source,employment_status,internal_player_key,owner_club_save_index,owner_club_database_id,owner_club,active_club_save_index,active_club_database_id,active_club,is_on_loan,weekly_wage_internal,contract_start_year,contract_end_date,contract_end_date_status,contract_end_day_raw,contract_end_year_raw,loan_weekly_wage_internal,loan_end_date,record_subtype,contract_count,data_quality_flags,score,confidence
8832899,"Celso Luís","Celso Luís",KNOWN_DISPLAY_NAME,FormationContract,7237,62,333,"A Portuguesa D",62,333,"A Portuguesa D",False,30,2004,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE",89,MEDIUM
8835083,"Jonas","Jonas Jessue",KNOWN_DISPLAY_NAME,FormationContract,7642,872,301354,"AD São Caetano",872,301354,"AD São Caetano",False,33,2004,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE",89,MEDIUM
8833512,"","Grein Júnior",IDENTITY_FRAGMENT,FormationContract,7365,569,107208,"Avaí FC",569,107208,"Avaí FC",False,30,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
320560,"","Simões",IDENTITY_FRAGMENT,FormationContract,4324,46,316,"Botafogo FR",46,316,"Botafogo FR",False,15,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8832804,"","Ramón Osni",IDENTITY_FRAGMENT,FormationContract,7149,44,314,"C Atlético Mineiro",44,314,"C Atlético Mineiro",False,31,2004,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8832808,"","Alves Pereira",IDENTITY_FRAGMENT,FormationContract,7153,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,30,2004,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8830334,"","Ângelo Ricardo",IDENTITY_FRAGMENT,FormationContract,7021,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,30,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8830341,"","Duarte Martins Medeiros",IDENTITY_FRAGMENT,FormationContract,7028,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,30,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8830333,"","José Sammir",IDENTITY_FRAGMENT,FormationContract,7020,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,35,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8830351,"","Marcus Winicius",IDENTITY_FRAGMENT,FormationContract,7038,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,32,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8830355,"","Saimon Alan",IDENTITY_FRAGMENT,FormationContract,7042,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,31,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8830347,"","Sarturi Hess",IDENTITY_FRAGMENT,FormationContract,7034,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,33,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8830339,"","Urnau",IDENTITY_FRAGMENT,FormationContract,7026,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,32,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8832809,"","Vieira Silva",IDENTITY_FRAGMENT,FormationContract,7154,568,107206,"C Atlético Paranaense",568,107206,"C Atlético Paranaense",False,30,2004,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8825004,"","de Brito Silva",IDENTITY_FRAGMENT,FormationContract,6712,57,328,"C Náutico Capibaribe",57,328,"C Náutico Capibaribe",False,30,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8826383,"","Braga Leal de Andrade",IDENTITY_FRAGMENT,FormationContract,6840,1096,311957,"Cachoeiro FC",1096,311957,"Cachoeiro FC",False,30,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
8826391,"","Chamão de Medeiros",IDENTITY_FRAGMENT,FormationContract,6843,1096,311957,"Cachoeiro FC",1096,311957,"Cachoeiro FC",False,30,2001,,NotDefined,1,1900,,,2,1,"SENTINEL_END_DATE|DISPLAY_NAME_UNRESOLVED",89,MEDIUM
