database_id,display_name,identity_name,name_source,employment_status,internal_player_key,owner_club_save_index,owner_club_database_id,owner_club,active_club_save_index,active_club_database_id,active_club,is_on_loan,weekly_wage_internal,contract_start_year,contract_end_date,contract_end_date_status,contract_end_day_raw,contract_end_year_raw,loan_weekly_wage_internal,loan_end_date,record_subtype,contract_count,data_quality_flags,score,confidence
8833423,"","Alencar",IDENTITY_FRAGMENT,OnLoan,7307,1049,310898,"Uberaba SC",62,333,"A Portuguesa D",True,229,2003,2006-01-31,Defined,30,2006,229,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
320567,"","Ferreira Pedro",IDENTITY_FRAGMENT,OnLoan,4330,48,319,"SC Corinthians Paulista",62,333,"A Portuguesa D",True,31,2001,2004-12-31,Defined,365,2004,31,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
8825571,"","Itaparica",IDENTITY_FRAGMENT,OnLoan,6773,50,321,"Cruzeiro EC",62,333,"A Portuguesa D",True,92,2001,2006-01-31,Defined,30,2006,92,2004-12-31,1,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
319648,"","Lucas Souza",IDENTITY_FRAGMENT,OnLoan,4108,574,107218,"Juventus (SP)",62,333,"A Portuguesa D",True,237,2001,2006-01-31,Defined,30,2006,237,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
319214,"","Anselmo Tadeu",IDENTITY_FRAGMENT,OnLoan,3981,58,329,"SE Palmeiras",61,332,"AA Ponte Preta",True,324,2001,2005-03-28,Defined,86,2005,324,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
3300990,"","de Paula Queiroz",IDENTITY_FRAGMENT,OnLoan,5562,629,121262,"SE Gama",61,332,"AA Ponte Preta",True,781,2001,2006-05-09,Defined,128,2006,781,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
3301008,"","Flávio Luís",IDENTITY_FRAGMENT,OnLoan,5572,58,329,"SE Palmeiras",61,332,"AA Ponte Preta",True,370,2002,2006-06-30,Defined,180,2006,370,2004-12-31,1,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
6900137,"","Márcio Wendel",IDENTITY_FRAGMENT,OnLoan,6492,875,301359,"União A Barbarense FC",61,332,"AA Ponte Preta",True,462,2003,2005-01-31,Defined,30,2005,462,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
316511,"","Medeiros de Almeida",IDENTITY_FRAGMENT,OnLoan,3306,66,337,"São Paulo FC",61,332,"AA Ponte Preta",True,561,2001,2006-01-31,Defined,30,2006,561,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
309128,"","Noídio Guilherme",IDENTITY_FRAGMENT,OnLoan,1990,59,330,"Paraná C",61,332,"AA Ponte Preta",True,633,2001,2006-01-31,Defined,30,2006,633,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
3300154,"","Souza da Cruz",IDENTITY_FRAGMENT,OnLoan,5253,69,340,"EC Vitória",61,332,"AA Ponte Preta",True,415,2001,2006-01-31,Defined,30,2006,415,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
315071,"","Tiago Messias",IDENTITY_FRAGMENT,OnLoan,2578,571,107212,"Friburguense AC",61,332,"AA Ponte Preta",True,305,2004,2006-01-31,Defined,30,2006,305,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
3301095,"","Posso Moreno",IDENTITY_FRAGMENT,OnLoan,5601,50,321,"Cruzeiro EC",567,107205,"ABC FC",True,280,2001,2006-01-31,Defined,30,2006,280,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
305080,"","Wilson Januário",IDENTITY_FRAGMENT,OnLoan,1298,851,301310,"Joinville EC",818,301247,"AD Cabofriense",True,362,2001,2006-01-31,Defined,30,2006,362,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
304738,"","Éder Marcelo",IDENTITY_FRAGMENT,OnLoan,1238,1064,311026,"Marília AC",872,301354,"AD São Caetano",True,384,2003,2006-06-08,Defined,158,2006,384,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
14525,"","Laaber",IDENTITY_FRAGMENT,OnLoan,357,48,319,"SC Corinthians Paulista",872,301354,"AD São Caetano",True,2064,2004,2004-12-31,Defined,365,2004,2064,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
319223,"","Triguinho",IDENTITY_FRAGMENT,OnLoan,3989,849,301306,"Figueirense FC",872,301354,"AD São Caetano",True,790,2001,2006-01-31,Defined,30,2006,790,2004-12-31,1,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
6900550,"","Venâncio de Albuquerque",IDENTITY_FRAGMENT,OnLoan,6551,64,335,"Santos FC",872,301354,"AD São Caetano",True,82,2001,2006-01-31,Defined,30,2006,82,2004-12-31,1,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
316273,"","Erasmo",IDENTITY_FRAGMENT,OnLoan,3189,69,340,"EC Vitória",1098,311960,"AE Catuense",True,30,2001,2005-01-31,Defined,30,2005,30,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
8830369,"","Nicolas",IDENTITY_FRAGMENT,OnLoan,7056,69,340,"EC Vitória",1098,311960,"AE Catuense",True,30,2001,2005-01-31,Defined,30,2005,30,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
302460,"","Paulo Frederico",IDENTITY_FRAGMENT,OnLoan,806,54,325,"Guarani FC",1767,5627593,"Al Khor",True,566,2003,2006-01-31,Defined,30,2006,566,2005-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
2001669,"","Gélson",IDENTITY_FRAGMENT,OnLoan,5018,573,107216,"Ituano SCF",565,107201,"América FC (MG)",True,295,2001,2006-01-31,Defined,30,2006,295,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
3300004,"","José Caetano",IDENTITY_FRAGMENT,OnLoan,5219,790,301194,"Mamoré EC",565,107201,"América FC (MG)",True,168,2002,2006-01-31,Defined,30,2006,168,2004-12-31,2,2,"DISPLAY_NAME_UNRESOLVED",97,HIGH
